C100,콜드 브루 커피,
C101,나이트로 바닐라크림,
C102,포레스트 콜드브루,
C103,나이트로 콜드브루,
C104,돌체 콜드브루,
C105,바닐라 크림 콜드브루,
C106,콜드브루,
C107,콜드브루몰트,
C108,콜드브루 오트라떼,
C109,콜드 브루 플로트,
C110,프렌치 애플 타르트 나이트로,
C200,브루드커피,
C201,아이스 커피,
C202,오늘의 커피,
C300,에스프레소,
C301,라벤더 카페 브레베,
C302,럼 샷 코르타도,
C303,바닐라 빈 라떼,
C304,바닐라 스타벅스 더블샷,
C305,바닐라 플랫 화이트,
C306,블론드 바닐라 더블샷 마끼아또,
C307,블론드 에스프레소 라떼,
C308,스타벅스 돌체 라떼,
C309,아이스 라벤더 카페 브레베,
C310,아이스 바닐라 빈 라떼,
C311,아이스 블론드 에스프레소 라떼,
C312,아이스 스타벅스 돌체라떼,
C313,아이스 카라멜 마끼아또,
C314,아이스 카페 아메리카노,
C315,아이스 카페라떼,
C316,아이스 카페모카,
C317,아이스 카푸치노,
C318,아이스 화이트 초콜릿 모카,
C319,에스프레소,
C320,에스프레소 마끼아또,
C321,에스프레소 콘파나,
C322,제주 별다방 땅콩라떼,
C323,카라멜 마끼아또,
C324,카페 라떼,
C325,카페 모카,
C326,카페 아메리카노,
C327,카푸치노,
C328,커피 스타벅스 더블샷,
C329,클래식 아포가토,
C330,헤이즐넛 스타벅스 더블샷,
C331,화이트 초콜릿 모카,
C400,프라푸치노,
C401,더블 에스프레소 칩 프라푸치노,
C402,돌체 카라멜 칩 커피 프라푸치노,
C403,모카 프라푸치노,
C404,바나나 크림 다크 초코 블렌디드,
C405,바닐라 크림 프라푸치노,
C406,에스프레소 프라푸치노,
C407,자바 칩 프라푸치노,
C408,제주 까망 크림 프라푸치노,
C409,제주 별다방 땅콩 프라푸치노,
C410,제주 쑥떡 크림 프라푸치노,
C411,제주 유기농 말차로 만든 프라푸치노,
C412,초콜릿 크림 칩 프라푸치노,
C413,카라멜 프라푸치노,
C414,화이트 딸기 크림 프라푸치노,
C415,화이트 초콜릿 모카 프라푸치노,
C416,화이트 타이거 프라푸치노,
C500,블렌디드,
C501,딸기 딜라이트 요거트 블렌디드,
C502,딸기 레몬 블렌디드,
C503,망고 바나나 블렌디드 ,
C504,망고 패션 후르츠 블렌디드,
C505,민트 초콜릿 칩 블렌디드,
C506,제주 천혜향 블랙 티 블렌디드,
C507,피치 N 레몬 블렌디드,
C600,스타벅스 피지오,
C601,블랙 티 레모네이드 피지오,
C602,쿨 라임 피지오,
C603,패션 탱고 티 레모네이드 피지오,
C700,티 티바나,
C701,돌체 블랙 밀크 티,
C702,라임 패션 티,
C703,민트 블렌드 티,
C704,별궁 오미자 유스베리 티,
C705,스타벅스 파인애플 선셋 아이스 티,
C706,아이스 돌체 블랙 밀크 티,
C707,아이스 라임 패션 티,
C708,아이스 민트 블렌드 티,
C709,아이스 별궁 오미자 유스베리 티,
C710,아이스 얼 그레이 티,
C711,아이스 유스베리 티,
C712,아이스 유자 민트 티,
C713,아이스 잉글리쉬 브렉퍼스트 티,
C714,아이스 자몽 허니 블랙 티,
C715,아이스 제주 유기 녹차,
C716,아이스 제주 유기농 말차로 만든 라떼,
C717,아이스 차이 티 라떼,
C718,아이스 캐모마일 블렌드 티,
C719,아이스 콩고물 블랙 밀크 티,
C720,아이스 패션 푸르트 티,
C721,아이스 푸를 청귤 민트 티,
C722,아이스 히비스커스 블렌드 티,
C723,얼 그레이 티,
C724,유스베리 티,
C725,유자 민트 티,
C726,잉글리쉬 브렉퍼스트 티,
C727,자몽 허니 블랙 티,
C728,제주 유기 녹차,
C729,제주 유기농 말차로 만든 라떼,
C730,차이 티 라떼,
C731,캐모마일 블렌드 티,
C732,콩고물 블랙 밀크 티,
C733,패션 푸르트 티,
C734,피치 젤리 아이스 티,
C735,피치 젤리 티,
C736,히비스커스 블렌드 티,
C800,기타제조음료,
C801,샤이닝 머스캣 에이드,
C802,스타벅스 슬래머NEW,
C803,스타벅스 슬래머,
C804,시그니처 핫 초콜릿,
C805,아이스 시그니처 초콜릿,
C806,플러피 판다 아이스 초콜릿,
C807,플러피 판다 핫 초콜릿,
C808,라임 플로터 위드 리저브 CB 샷,
C809,스팀 우유,
C810,아이스 제주 까망 라떼,
C811,오렌지 플로터 위드 리저브 CB 샷,
C812,우유,
C813,제주 까망 라떼,
C814,제주 쑥쑥 라떼,
C815,제주 청귤 레모네이드,
