Code,name,
100,콜드 브루 커피,1
101,나이트로 바닐라크림,100
102,포레스트 콜드브루,100
103,나이트로 콜드브루,100
104,돌체 콜드브루,100
105,바닐라 크림 콜드브루,100
106,콜드브루,100
107,콜드브루몰트,100
108,콜드브루 오트라떼,100
109,콜드 브루 플로트,100
110,프렌치 애플 타르트 나이트로,100
200,브루드커피,2
201,아이스 커피,200
202,오늘의 커피,200
300,에스프레소,3
301,라벤더 카페 브레베,300
302,럼 샷 코르타도,300
303,바닐라 빈 라떼,300
304,바닐라 스타벅스 더블샷,300
305,바닐라 플랫 화이트,300
306,블론드 바닐라 더블샷 마끼아또,300
307,블론드 에스프레소 라떼,300
308,스타벅스 돌체 라떼,300
309,아이스 라벤더 카페 브레베,300
310,아이스 바닐라 빈 라떼,300
311,아이스 블론드 에스프레소 라떼,300
312,아이스 스타벅스 돌체라떼,300
313,아이스 카라멜 마끼아또,300
314,아이스 카페 아메리카노,300
315,아이스 카페라떼,300
316,아이스 카페모카,300
317,아이스 카푸치노,300
318,아이스 화이트 초콜릿 모카,300
319,에스프레소,300
320,에스프레소 마끼아또,300
321,에스프레소 콘파나,300
322,제주 별다방 땅콩라떼,300
323,카라멜 마끼아또,300
324,카페 라떼,300
325,카페 모카,300
326,카페 아메리카노,300
327,카푸치노,300
328,커피 스타벅스 더블샷,300
329,클래식 아포가토,300
330,헤이즐넛 스타벅스 더블샷,300
331,화이트 초콜릿 모카,300
400,프라푸치노,4
401,더블 에스프레소 칩 프라푸치노,400
402,돌체 카라멜 칩 커피 프라푸치노,400
403,모카 프라푸치노,400
404,바나나 크림 다크 초코 블렌디드,400
405,바닐라 크림 프라푸치노,400
406,에스프레소 프라푸치노,400
407,자바 칩 프라푸치노,400
408,제주 까망 크림 프라푸치노,400
409,제주 별다방 땅콩 프라푸치노,400
410,제주 쑥떡 크림 프라푸치노,400
411,제주 유기농 말차로 만든 프라푸치노,400
412,초콜릿 크림 칩 프라푸치노,400
413,카라멜 프라푸치노,400
414,화이트 딸기 크림 프라푸치노,400
415,화이트 초콜릿 모카 프라푸치노,400
416,화이트 타이거 프라푸치노,400
500,블렌디드,5
501,딸기 딜라이트 요거트 블렌디드,500
502,딸기 레몬 블렌디드,500
503,망고 바나나 블렌디드 ,500
504,망고 패션 후르츠 블렌디드,500
505,민트 초콜릿 칩 블렌디드,500
506,제주 천혜향 블랙 티 블렌디드,500
507,피치 & 레몬 블렌디드,500
600,스타벅스 피지오,6
601,블랙 티 레모네이드 피지오,600
602,쿨 라임 피지오,600
603,패션 탱고 티 레모네이드 피지오,600
700,티(티바나),600
701,돌체 블랙 밀크 티,7
702,라임 패션 티,700
703,민트 블렌드 티,700
704,별궁 오미자 유스베리 티,700
705,스타벅스 파인애플 선셋 아이스 티,700
706,아이스 돌체 블랙 밀크 티,700
707,아이스 라임 패션 티,700
708,아이스 민트 블렌드 티,700
709,아이스 별궁 오미자 유스베리 티,700
710,아이스 얼 그레이 티,700
711,아이스 유스베리 티,700
712,아이스 유자 민트 티,700
713,아이스 잉글리쉬 브렉퍼스트 티,700
714,아이스 자몽 허니 블랙 티,700
715,아이스 제주 유기 녹차,700
716,아이스 제주 유기농 말차로 만든 라떼,700
717,아이스 차이 티 라떼,700
718,아이스 캐모마일 블렌드 티,700
719,아이스 콩고물 블랙 밀크 티,700
720,아이스 패션 푸르트 티,700
721,아이스 푸를 청귤 민트 티,700
722,아이스 히비스커스 블렌드 티,700
723,얼 그레이 티,700
724,유스베리 티,700
725,유자 민트 티,700
726,잉글리쉬 브렉퍼스트 티,700
727,자몽 허니 블랙 티,700
728,제주 유기 녹차,700
729,제주 유기농 말차로 만든 라떼,700
730,차이 티 라떼,700
731,캐모마일 블렌드 티,700
732,콩고물 블랙 밀크 티,700
733,패션 푸르트 티,700
734,피치 젤리 아이스 티,700
735,피치 젤리 티,700
736,히비스커스 블렌드 티,700
700,티(티바나),
701,돌체 블랙 밀크 티,700
702,라임 패션 티,700
703,민트 블렌드 티,700
704,별궁 오미자 유스베리 티,700
705,스타벅스 파인애플 선셋 아이스 티,700
706,아이스 돌체 블랙 밀크 티,700
707,아이스 라임 패션 티,700
708,아이스 민트 블렌드 티,700
709,아이스 별궁 오미자 유스베리 티,700
710,아이스 얼 그레이 티,700
711,아이스 유스베리 티,700
712,아이스 유자 민트 티,700
713,아이스 잉글리쉬 브렉퍼스트 티,700
714,아이스 자몽 허니 블랙 티,700
715,아이스 제주 유기 녹차,700
716,아이스 제주 유기농 말차로 만든 라떼,700
717,아이스 차이 티 라떼,700
718,아이스 캐모마일 블렌드 티,700
719,아이스 콩고물 블랙 밀크 티,700
720,아이스 패션 푸르트 티,700
721,아이스 푸를 청귤 민트 티,700
722,아이스 히비스커스 블렌드 티,700
723,얼 그레이 티,700
724,유스베리 티,700
725,유자 민트 티,700
726,잉글리쉬 브렉퍼스트 티,700
727,자몽 허니 블랙 티,700
728,제주 유기 녹차,700
729,제주 유기농 말차로 만든 라떼,700
730,차이 티 라떼,700
731,캐모마일 블렌드 티,700
732,콩고물 블랙 밀크 티,700
733,패션 푸르트 티,700
734,피치 젤리 아이스 티,700
735,피치 젤리 티,700
736,히비스커스 블렌드 티,700
800,기타제조음료,8
801,샤이닝 머스캣 에이드,800
802,스타벅스 슬래머NEW,800
803,스타벅스 슬래머,800
804,시그니처 핫 초콜릿,800
805,아이스 시그니처 초콜릿,800
806,플러피 판다 아이스 초콜릿,800
807,플러피 판다 핫 초콜릿,800
808,라임 플로터 위드 리저브 CB 샷,800
809,스팀 우유,800
810,아이스 제주 까망 라떼,800
811,오렌지 플로터 위드 리저브 CB 샷,800
812,우유,800
813,제주 까망 라떼,800
814,제주 쑥쑥 라떼,800
815,제주 청귤 레모네이드,800
900,스타벅스 주스(병음료),9
901,기운내라임 190ML,900
902,파이팅 청귤 190ML,900
903,한방에 쭉 감당 190ML,900
904,도와줘 흑흑 190ML,900
905,딸기주스 190ML,900
906,망고주스 190ML,900
907,수박주스 190ML,900
908,케일&사과주스 190ML,900
909,토마토주스 190ML,900
910,퍼플베리 굿 190ML,900
911,한라봉주스 190ML,900
912,햇사과 주스 190ML,900
913,블루베리 요거트 190ML,900
914,치아씨드 요거트 190ML,900
